종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
405920,나라셀라,KOSDAQ,중견기업부,4770,50,1.06,4770,4815,4715,14171,67220850,61428422520,12878076
288490,나라소프트,KONEX,일반기업부,96,0,0.0,0,0,0,0,0,5031814272,52414732
051490,나라엠앤디,KOSDAQ,우량기업부,4705,5,0.11,4725,4725,4675,17320,81351305,66811000000,14200000
137080,나래나노텍,KOSDAQ,벤처기업부,5420,90,1.69,5330,5460,5300,18737,101065830,59942067240,11059422
190510,나무가,KOSDAQ,우량기업부,13750,200,1.48,13610,13840,13470,93979,1285443290,223635280000,16264384
242040,나무기술,KOSDAQ,기술성장기업부,1987,7,0.35,1980,1995,1961,102736,203201348,68762646568,34606264
089600,나스미디어,KOSDAQ,우량기업부,16260,-110,-0.67,16400,16400,16150,25836,418862570,188098330380,11568163
293580,나우IB,KOSDAQ,중견기업부,1018,-13,-1.26,1027,1049,1018,124612,127925977,97493860000,95770000
257990,나우코스,KONEX,일반기업부,4680,105,2.3,4680,4680,4600,102,469360,27536614560,5883892
138610,나이벡,KOSDAQ,기술성장기업부,18130,-30,-0.17,17900,18570,17900,57765,1058769620,186421598090,10282493
130580,나이스디앤비,KOSDAQ,우량기업부,5680,20,0.35,5700,5700,5550,5852,32743340,87472000000,15400000
